Serial Number:,DEN1I104,,,,,,,,
APP Serial #,4000695,,,,,,,,
APP Ver:,  R1-6-3,,,,,,,,
COM Ver:,   R2-6-1,,,,,,,,
Instrument Name:,tulipdendro                 ,,,,,,,,
Comment:,                            ,,,,,,,,
Channel,Slope,Intercept,,,,,,,
Chan1,1,0,,,,,,,
Chan2,1,0,,,,,,,
Chan3,1,0,,,,,,,
Chan4,1,0,,,,,,,
Chan5,1,0,,,,,,,
,,,,,,,,,
Date,Time,Chan1 (mm ),Chan1 (mV),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
29/05/2020,6:00:13,193.684,0,4.19,11.1,present ,11.23,44.4,
29/05/2020,6:10:13,193.684,0,4.19,11.3,present ,11.23,44.4,
29/05/2020,6:20:13,193.683,-0.001,4.19,11.5,present ,11.24,45,
29/05/2020,6:30:12,193.683,0,4.19,11.6,present ,11.24,45,
29/05/2020,6:40:12,193.683,0,4.19,11.9,present ,11.23,44.7,
29/05/2020,6:50:12,193.684,0,4.19,12.2,present ,11.24,45,
29/05/2020,7:00:12,193.683,0,4.19,12.6,present ,11.23,44.7,
29/05/2020,7:10:13,193.684,0,4.19,13.2,present ,11.24,45.3,
29/05/2020,7:20:13,193.684,0,4.19,14.1,present ,11.24,45,
29/05/2020,7:30:13,193.683,-0.001,4.19,14.5,present ,11.24,45.6,
29/05/2020,7:40:13,193.683,0,4.19,17.6,present ,11.21,46.2,
29/05/2020,7:50:13,193.683,0,4.2,21.5,present ,11.22,47.4,
29/05/2020,8:00:13,193.684,0,4.22,24,present ,11.21,45.6,
29/05/2020,8:10:13,193.683,0,4.22,25.3,present ,11.2,45,
29/05/2020,8:20:13,193.683,0,4.22,25.7,present ,11.23,44.7,
29/05/2020,8:30:13,193.683,0,4.23,26.6,present ,11.2,45,
29/05/2020,8:40:13,193.683,0,4.23,27.4,present ,11.2,44.7,
29/05/2020,8:50:13,193.684,0,4.23,27.6,present ,11.23,44.7,
29/05/2020,9:00:13,193.683,0,4.23,28,present ,11.23,44.4,
29/05/2020,9:10:13,193.683,-0.001,4.22,26.8,present ,11.23,44.1,
29/05/2020,9:20:13,193.683,0,4.22,26.6,present ,11.23,44.1,
29/05/2020,9:30:12,193.683,-0.001,4.2,25.2,present ,11.23,43.8,
29/05/2020,9:40:12,193.684,0,4.2,23.5,present ,11.23,43.5,
29/05/2020,9:50:13,193.683,0,4.22,23.8,present ,11.2,44.4,
29/05/2020,10:00:12,193.684,0,4.24,25.3,present ,11.2,44.4,
29/05/2020,10:10:13,193.683,0,4.22,25.4,present ,11.19,44.1,
29/05/2020,10:20:13,193.684,0,4.22,25.3,present ,11.19,44.1,
29/05/2020,10:30:13,193.683,-0.001,4.22,26,present ,11.23,44.4,
29/05/2020,10:40:13,193.683,0,4.23,26.5,present ,11.2,44.4,
29/05/2020,10:50:13,193.683,0,4.23,25.9,present ,11.23,44.1,
29/05/2020,11:00:13,193.684,0,4.22,25.6,present ,11.19,44.1,
29/05/2020,11:10:13,193.683,0,4.22,25,present ,11.19,44.1,
29/05/2020,11:20:13,193.684,0,4.22,23.9,present ,11.23,43.8,
29/05/2020,11:30:13,193.683,-0.001,4.21,22.1,present ,11.19,43.2,
29/05/2020,11:40:13,193.683,0,4.21,21,present ,11.22,43.2,
29/05/2020,11:50:13,193.683,-0.001,4.21,21.1,present ,11.23,43.5,
29/05/2020,12:00:13,193.684,0,4.21,20.9,present ,11.19,43.5,
29/05/2020,12:10:12,193.683,0,4.21,20.5,present ,11.23,43.5,
29/05/2020,12:20:13,193.684,0,4.2,20.4,present ,11.23,43.5,
29/05/2020,12:30:12,193.684,0,4.2,20,present ,11.19,43.5,
29/05/2020,12:40:12,193.684,0,4.2,19.9,present ,11.19,43.5,
29/05/2020,12:50:13,193.683,-0.001,4.2,20,present ,11.19,44.1,
29/05/2020,13:00:13,193.683,-0.001,4.2,19.9,present ,11.19,43.5,
29/05/2020,13:10:13,193.684,0,4.2,19.9,present ,11.19,43.8,
29/05/2020,13:20:13,193.683,0,4.2,19.9,present ,11.19,43.8,
29/05/2020,13:30:13,193.683,0,4.19,19.5,present ,11.19,43.5,
29/05/2020,13:40:13,193.684,0,4.2,19.7,present ,11.19,43.8,
29/05/2020,13:50:13,193.683,-0.001,4.2,19.9,present ,11.19,43.8,
29/05/2020,14:00:13,193.684,0,4.2,19.9,present ,11.19,43.8,
29/05/2020,14:10:13,193.683,-0.001,4.2,20.29,present ,11.19,43.8,
29/05/2020,14:20:13,193.683,0,4.2,19.79,present ,11.19,43.5,
29/05/2020,14:30:13,193.683,0,4.2,19.29,present ,11.19,44.1,
29/05/2020,14:40:13,193.683,0,4.19,19,present ,11.19,43.5,
29/05/2020,14:50:13,193.684,0,4.19,19.6,present ,11.19,44.1,
29/05/2020,15:00:12,193.683,0,4.19,19.4,present ,11.19,44.1,
29/05/2020,15:10:12,193.684,0,4.2,19.79,present ,11.19,44.1,
29/05/2020,15:20:13,193.683,-0.001,4.2,19.7,present ,11.19,44.1,
29/05/2020,15:30:13,193.684,0,4.2,20.1,present ,11.16,44.1,
29/05/2020,15:40:13,193.684,0,4.2,19.79,present ,11.19,43.5,
29/05/2020,15:50:13,193.683,0,4.19,19,present ,11.19,43.2,
29/05/2020,16:00:13,193.684,0,4.19,19,present ,11.19,44.1,
29/05/2020,16:10:13,193.684,0,4.2,20,present ,11.19,44.1,
29/05/2020,16:20:13,193.684,0,4.2,20.29,present ,11.19,44.1,
29/05/2020,16:30:13,193.684,0,4.19,19.5,present ,11.15,43.5,
29/05/2020,16:40:13,193.683,0,4.19,18.9,present ,11.19,43.5,
29/05/2020,16:50:13,193.683,0,4.19,18.79,present ,11.16,43.8,
